short_descriptions,assignment_groups
unable to login in MLS and eyepicking Q,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Assign Visio license to HQ001300,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Veeva downloading on its own,Service Desk - Non Sales
Few user with added QC Author users right cannot connect to Quality Center,SD_1stL_SD-UC_NSN_ENG_PH
ee svn Could not connect to httpswrscmiinsidensncom ,SD_UC_CoCare_NSN_GL
Insert automatic check for GLCC combinations,I-Buy Process Support
Request to change laptop unit,SD_1stL_SD-UC_NSN_ENG_PH
long aging issue in GIT inventory ,SD_1stL_SD-UC_NSN_ENG_PH
add email address Muckenthaler Ergonomie 737558 ,I-Buy Process Support
cant login in Veeva,Service Desk - Non Sales
Need to  create DL for L1 Oracle email notification,Service Desk - GAM
Five AM Woolworths F21 Straights removed,PZC-FJ-ServiceDesk
BCM Remedy User  Not able to expand the view on notes fields,SD_1stL_SD-UC_NSN_ENG_PH
eLearn course validation,Service Desk - Non Sales
Excess Charges in December 2019 Smart Bill,SD_1stL_SD-UC_NSN_ENG_PH
Create new AD group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PL Fiori GWP password reset,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
SVN prepare does not work for OAM binaries,SD_1stL_SD-UC_NSN_ENG_PH
gvs1256pfizercom ProcessThe inetd Process has Stopped  Escalate ASAP Solaris Zone Host,GBL-WTI-AHS UNIX L1
Outlook 2016  ost mail file corruptionunable to start Microsoft Office Outlook,Deskside Carnegie
cannot open attachments in SRM,SD_UC_CoCare_NSN_GL
RE  Requesting clarification on PO document,SD_UC_CoCare_NSN_GL
Not able to access Internet during VPN connectivity,SD_1stL_SD-UC_NSN_ENG_PH
Account locked out again,Service Desk - Non Sales
NDP Execute access problem,SD_UC_CoCare_NSN_GL
CIOO Bell Labs FC group for Mirja Leminen ,I-Buy Process Support
return PO delivery split,SD_1stL_SD-UC_NSN_ENG_PH
Neuroscience Blue Representative 4903,Service Desk - Non Sales
IT  Email threat subject Recover returned email   RITM opened related to INC0832257,G SNOW IT SERVICE DESK
Remove Unix access for galgaa,GBL-WTI-AHS UNIX L1
Please create user in ad,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Set homepage for Chrome,Service Desk - Non Sales
Requester Role for Ireland,I-Buy Process Support
PL  16 Commercial Controller PL,G SNOW PL SERVICE DESK
Receivable Management Tool not functioning,SD_1stL_SD-UC_NSN_ENG_PH
amrdrms016pfizercomMultiple copyenvdailysh PIDs Detected Escalate and Investigate Issues ASAPunixlogpfizerflasharchive PFEUnixFlashArchiveError Solaris Zone Host,GBL-WTI-AHS UNIX L1
IE  VPN Certificate Validation Failure,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
CH  Shared mailbox access request,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
sfwintq01sfuspriwyethcom Down Intel,GBL-WTI-AHS WINTEL L1
SOFTWARE FMO Win10  LAR Request N5CG5191S3X ,SD_1stL_SD-UC_NSN_ENG_PH
CZ  Lotus Notes  Based on RITM0934663,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Unamle to connect Monitor with Laptop,Deskside Carnegie
new AD group for dashboards,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Usermohammadumarkhan007gmailcom Getting SSO 41 error – Parent Account ID or Account ID Not Ident,SD_1stL_SD-UC_NSN_ENG_PH
Unable to  complete a course in LMS,Service Desk - Non Sales
Very slow connection between NBG location and Server ondwfnfsinselucentcom in Westford,SD_1stL_SD-UC_NSN_ENG_PH
Sync error due to TOT,Service Desk - Sales All
Items locked in WF,SD_1stL_SD-UC_NSN_ENG_PH
GR  assign roles from P to Q system,G SNOW GR SERVICE DESK
Add ARCrelated roles to BG901205,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
ASAP  Please reset MFA ,G SNOW RU SERVICE DESK
i get 403 error while accessing the following link     httpconfluenceappalcatellucentcom,SD_1stL_SD-UC_NSN_ENG_PH
SAP RPL Manufacturing Execution  669969  2019 HU stock Incosistency,PZC-FJ-ServiceDesk
BI REM – “totals not matching for plant“,PZC-FJ-ServiceDesk
amrdrms016pfizercomcritical alert on faulty component System A disk erroropscenter PFEOEMOpsCenterAlert Solaris Zone Host,GBL-WTI-AHS UNIX L1
 PZ Cussons  SPA Tech user locked,PZC-FJ-ServiceDesk
Remove this PO from saved tray,SD_UC_CoCare_NSN_GL
SubjectLaptop power wont turn on,SD_1stL_SD-UC_NSN_ENG_PH
CZ  report access ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RP NSAUNIX Request20191212022813590,GBL-WTI-AHS UNIX L1
issue with printer and drivers,Service Desk - Non Sales
Change my default access security method,SD_1stL_SD-UC_NSN_ENG_PH
PRIO1 Oulu Factory SiplacePro is not working,SD_1stL_SD-UC_NSN_ENG_PH
Remove SSF groups,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
unable to create an epic,SD_1stL_SD-UC_NSN_ENG_PH
Creo 60 Upgrade,SD_1stL_SD-UC_NSN_ENG_PH
Name of instance is different in API and User Interface,SD_1stL_SD-UC_NSN_ENG_PH
Need to have access to modify mode in VO,PZC-FJ-ServiceDesk
GR  Globally locked,G SNOW GR SERVICE DESK
SAP Easy DMS  Windows 10 defect,PZC-FJ-ServiceDesk
BG  Renew VPN certificate,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Assignment to CTRYLVHR  LV  Country HR Team,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
FI  Bitlocker  Unable to assign PIN,SD_1stL_SD-UC_NSN_ENG_PH
FollowUp needed for EMException KZOAMRCLS05ASMARTS CMDB Discovery Error KZOAMRCLS05A not pingable,GBL-WTI-AHS WINTEL L1
workday code on ipad,Service Desk - Non Sales
FW INC0345665  unable to login into citrix,Service Desk - Non Sales
VERY URGENT  New confirming PP 1805,SD_UC_CoCare_NSN_GL
DP Issue Failures for AMER5b  BS amrsoms005  CT prwastctr01qprwastctr01q,GBL-WTI-AHS WINTEL L1
Driving Clinical Trials Progress Through the Pandemic ・Free Webinar hosted by IQVIA,Service Desk - Sales All
DP issues Failures for EMEA0  BS emacroava001 GP PfizerWindowsSkipDB CT emacpew006,GBL-WTI-AHS WINTEL L1
Need acess to Software Supply Tool,SD_1stL_SD-UC_NSN_ENG_PH
Please create user rf127426 in Verint,G SNOW RU SERVICE DESK
AMRBLTW014  High CPU Utilization  Frequently receiving the alerts,GBL-WTI-AHS WINTEL L1
Please grand access for user rf122007 in to Manager OpenScape Contact Center  for view call data,G SNOW RU SERVICE DESK
Microsoft Active Directory Account disabled,Service Desk - Non Sales
Account disabled  Chen Dalei,Service Desk - Non Sales
Patching Issue PARTIALLY Win2003 523790 Result for APWLDAWAXP02,GBL-WTI-AHS WINTEL L1
amrdrms016pfizercomcritical alert on faulty component PS0VOUTOK A power supply error due to State Deassertedopscenter PFEOEMOpsCenterAlert Solaris Zone Host,GBL-WTI-AHS UNIX L1
Red team trainingnew ipad not turning on ,Service Desk - Non Sales
amrdrml472pfizercomLogMonitorSystem Panic Escalate and Investigate Issues ASAPunixsyslog PFEUnixServerPanics Linux,GBL-WTI-AHS UNIX L1
RE Request Help  Not able to logon to CREDO error message  INC0362220,Service Desk - Non Sales
User group ZCOAA and query EMPTIESREG,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Issues with eLearn on iPad,Service Desk - Non Sales
Adobe Acrobat Pro is expired,Deskside Carnegie
AMRSOMW1036 Not Responding After Reboot Attempt,GBL-WTI-AHS WINTEL L1
AD account locked out,Deskside Carnegie
GLs  672200 689200 missing,I-Buy Process Support
edcemacls03bemeapfizercom cpqClusterResource Intel,GBL-WTI-AHS WINTEL L1
UsersteinarmoeoneconoGetting errorSSO 41Parent Account ID not identified,SD_1stL_SD-UC_NSN_ENG_PH
Install UC4 software on new SSH DMZ servers AMRSOML545 AMRSOML544 EMAEDCL188,GBL-WTI-AHS UNIX L1
MFA Log in issue,SD_UC_CoCare_NSN_GL
DP issues Failures for APAC9  BS aspthaava001 GP Amrvwp000005910ImageBackup CT auadwa1201q,GBL-WTI-AHS WINTEL L1
Update authorization for BY user,G SNOW RU SERVICE DESK
RE Issue accessing Teams and Zoom,Service Desk - Non Sales
Keeps getting message private access disabled ,Service Desk - Non Sales
Supplier 723199 not found in ibuy,I-Buy Process Support
Cannot access the MongoDB service from EE Cloud instance with IP in the range denoted in above firewall ticket,SD_UC_CoCare_NSN_GL
Software install request,Service Desk - Non Sales
BI Remediation Incident  INT004,PZC-FJ-ServiceDesk
install zscaler no software center uninstall network connect ,Service Desk - Non Sales
User want to check the issue of NFS,SD_UC_CoCare_NSN_GL
PO 5020154500  ShC 1003193498 is approved value 10000000 BRL,SD_UC_CoCare_NSN_GL
SNMPAgentamrndhl848pfizercom NotResponding Linux,GBL-WTI-AHS UNIX L1
 SRM access request Stephen Gadsdon,SD_UC_CoCare_NSN_GL
Please block the domain,G SNOW RU SERVICE DESK
RE INC0335812  I would like to request Orion app to be loaded to my Ipad,Service Desk - Non Sales
Integra Tool issue Internal Server Error  01272020,SD_UC_CoCare_NSN_GL
CZ Assign user access connected to INC0885814,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
My Login issues,Service Desk - Non Sales
Apps in iPad,Service Desk - Non Sales
SubjectRE SPO force open in desktop app,SD_1stL_SD-UC_NSN_ENG_PH
User Mihail Tihomirov RF103884 has a blocked camera icon when calling Teams he cannot turn it on ,G SNOW RU SERVICE DESK
Filter on system parameter lost when moving back to filtered view,SD_1stL_SD-UC_NSN_ENG_PH
Reset Citrix session ,SD_UC_CoCare_NSN_GL
Need to save Favorites in new machine,Deskside Carnegie
IDM  Reentry RU383294RU012568 Andrey Bondarenko,G SNOW RU SERVICE DESK
Red Team Training  Successfactor app,Service Desk - Non Sales
IT Mail x creazione nuova survey ITPOST SNEAKERS 2020TEMP  ITPOST COKEMEAL 2020TEMP  ITPOST CARNIVAL 2020TEMP,G SNOW IT SERVICE DESK
Microsoft Whiteboard app,Deskside Carnegie
Unable to launch SAP P20 logon pad,SD_UC_CoCare_NSN_GL
Extend user validity,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
FRAM05Atlas FIHE5HVDPDRT016 robo is in warning state,SD_1stL_SD-UC_NSN_ENG_PH
unable to login to httpsgitlabe1extnetnokiacomuserssignin,SD_UC_CoCare_NSN_GL
RO  Enable user RO902046,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
RE INC0386253  FW Push Request for Full Adobe Pro DC,Service Desk - Non Sales
DP issues  Failures for APAC7  BS aspchpava001 GP VMImageDaily7PM CT ikktsa6005q,GBL-WTI-AHS WINTEL L1
RP NSAUNIX Request20190822050747386,GBL-WTI-AHS UNIX L1
EDI testing in ECR  POAs,PZC-FJ-ServiceDesk
User called in about making calls to doctors,Service Desk - Sales All
Priority 4GXS  ALCATEL  14032567733  GXS PROACTIVE MONIT  DCTS  AQTC  ASN Message Failure to CENTURY LINK 01069737914  Moderate,SD_1stL_SD-UC_NSN_ENG_PH
UA Cisco AnyConnect for users 3rd part,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
fNokia  Support Portal  pransquinwisone SSO41 error,SD_1stL_SD-UC_NSN_ENG_PH
Wireless Mouse with USB is not working fopr laptop and Ootlook and Skype are having issues,Deskside Carnegie
sCRM sign on not working ,SD_1stL_SD-UC_NSN_ENG_PH
Please back access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
cant sync Veeva,Service Desk - Non Sales
configure internal  microphone on laptop,Service Desk - Non Sales
GR  Reinstate access lost for 2 employees,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IT  O365 Mailbox creation,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
invzsz5400pfizercom MultipleDeviceDown Intel VM Guest,GBL-WTI-AHS WINTEL L1
alliancesupport Alliance issue,SD_UC_CoCare_NSN_GL
HCP keeps falling out after adding manually,Service Desk - Non Sales
Urgent Coppy user access and permissions,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
GS BG PI’s are still being tagged to NSW BU and BL,SD_1stL_SD-UC_NSN_ENG_PH
fNokia  Hardware Laptop  power socket malfunction  unable to charge battery,SD_1stL_SD-UC_NSN_ENG_PH
IT Assign user ITQ04313 AD groups as has been expired,G SNOW IT SERVICE DESK
SNMPAgentaspmanw003apacpfizercom NotResponding Intel,GBL-WTI-AHS WINTEL L1
PL  Unlock user in SAP Q54 system,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
amrndhs373pfizercomLogMonitorVeritas SFVxVM Failure Escalate and Investigate Issues ASAPunixsyslog PFEUnixVeritasVXFSVXVM Unix,GBL-WTI-AHS UNIX L1
aspsdcw696apacpfizercom Down Intel,GBL-WTI-AHS WINTEL L1
Setting up new iPad ,Service Desk - Non Sales
ENHUsers to view ECC cost centre reports for only their cost centres A3480051  8000004533,PZC-FJ-ServiceDesk
Adobe Reader download,Service Desk - Non Sales
BSO  Set new email for SAP user 31002046 S1,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IBUY account set up  RTUDUCE,I-Buy Process Support
Create external user and add user to AD group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
GR  VPN Certificates and Manuals,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Process chain failure APO Meta chain AU,PZC-FJ-ServiceDesk
user is getting error message ,Service Desk - Non Sales
Unable to use new iPad ,Service Desk - Non Sales
Copy of IBM  TSystems Incident Form V3  Latest VersionWith BI MatrixRequest,PZC-FJ-ServiceDesk
Trial Hub Access,Service Desk - Non Sales
restart avamar on AMRVALW002,GBL-WTI-AHS WINTEL L1
surface pro locked up,Service Desk - Non Sales
Access to PowerBI,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Order 9807883279 in TLB not converting i,PZC-FJ-ServiceDesk
RE New USER ID set up  Otsuka Invoice review,Service Desk - Non Sales
Toad Analytics Access For Angelo Pollari,Service Desk - Non Sales
PL   possible phishing email,G SNOW PL SERVICE DESK
Requester Roles for Wassman Neil Nokia  ZACenturion neilwassmannokiacom for Switzerland Ireland and Austria,I-Buy Process Support
Kindly provide me access to the 84 server for HCP Resource Allocation Project,Service Desk - Non Sales
LT field Sales,G SNOW PL SERVICE DESK
Please reset MFA to users account JuliaAvdeenkocchelleniccom,G SNOW RU SERVICE DESK
Jabber  Phone Services  Call service not working on my jabber c,SD_1stL_SD-UC_NSN_ENG_PH
SFWAPCRYDB01  6 MB disk available  Please clean disk and restart BigFix BES service afterwards,GBL-WTI-AHS WINTEL L1
HUSPC Quality Monitoring,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
PAMS CyberARK ITATS542I Error,SD_1stL_SD-UC_NSN_ENG_PH
Please reset my Citrix password for username  vineet36343,Service Desk - Non Sales
Gerrit returns strange data,SD_1stL_SD-UC_NSN_ENG_PH
Unable to launch HVD,SD_UC_CoCare_NSN_GL
GR  Assign Roles,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
запрос на архивацию почты,G SNOW EXT ATOS IS MAILING ADMINS
HVD performance issue,SD_1stL_SD-UC_NSN_ENG_PH
SNMPAgentcoremaemp04emeapfizercom NotResponding Intel,GBL-WTI-AHS WINTEL L1
Check fans rpm on EMAASCW055,GBL-WTI-AHS WINTEL L1
image missing for Dp 1800263,PZC-FJ-ServiceDesk
Hello team please help us delete the change version of the following POs,SD_UC_CoCare_NSN_GL
Need E5 Skype for Business License  New Contractor Courtney PortikCW  Start Date 20200224 ,Service Desk - GAM
DP ISSUE Failures for APAC9  BS aspthaava001 GP Amrvwp000005910ImageBackup CT ausaadwap1075,GBL-WTI-AHS WINTEL L1
ENHInbound delivery status not updating fol,PZC-FJ-ServiceDesk
Userajinkyathorat51gmailcom Getting SSO 41 login Error,SD_1stL_SD-UC_NSN_ENG_PH
Veeva Sync error,Service Desk - Sales All
Please Route to CDR Support Team  A1CDRSQL01 User Access Request for MukherjeeCW Amudha 37100,Service Desk - Non Sales
Recreate VPN certificates,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
VPN not connecting,SD_1stL_SD-UC_NSN_ENG_PH
aspdlnw030apacpfizercom Down Intel,GBL-WTI-AHS WINTEL L1
user needed assistance installing app for iPhone,Service Desk - Non Sales
Please reactivate the account,Service Desk - GAM
Software Center Application Not Opening,SD_1stL_SD-UC_NSN_ENG_PH
00215529 backdating issue,SD_1stL_SD-UC_NSN_ENG_PH
Removal of Affiliation for Chand Ravindra   from San Diego County Hospital,Service Desk - Sales All
NokiaMeetings   error message Enter a valid Webex site URL,SD_1stL_SD-UC_NSN_ENG_PH
SNMPAgentusncsa4240pfizercom NotResponding Intel VM Guest,GBL-WTI-AHS WINTEL L1
IDOC missing issue again,SD_UC_CoCare_NSN_GL
IT  3rd party ivpn SITRAIL,G SNOW IT SERVICE DESK
ASPGDWW004 Not Responding After Reboot Attempt,GBL-WTI-AHS WINTEL L1
SOFTWARE FMO Win10 Nokia Image Installation assistance,SD_1stL_SD-UC_NSN_ENG_PH
Promotion Notice  Joanna Ondash  OAPI,Service Desk - Non Sales
User wants to contact Otsuka travel and expense,Service Desk - Non Sales
FW Access to Visio 2013 Approval,Service Desk - GAM
MY ERM Calendar update for P03 Man Working Days,SD_1stL_SD-UC_NSN_ENG_PH
PL  Access to FBL1N,G SNOW PL SERVICE DESK
US20 FICO Reconciliation Difference on C,PZC-FJ-ServiceDesk
User details not appearing in sNOW portal,SD_1stL_SD-UC_NSN_ENG_PH
Managment profitability access for new users ,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Hardware Keyboard is not working,SD_1stL_SD-UC_NSN_ENG_PH
Enable online archive for paulinakallioucchelleniccom HQ001077,G SNOW EXT ATOS IS MAILING ADMINS
RE Complete access to Delamanid Coll Res SharePoint,Service Desk - Non Sales
Salesforce CRM Application issues,SD_1stL_SD-UC_NSN_ENG_PH
Problem with patching CI AMRDRML476  Investigation Required,GBL-WTI-AHS UNIX L1
PL  Add access to shared drive,G SNOW PL SERVICE DESK
incorrect tot territory submitted,Service Desk - Non Sales
fNokia  O365 Functional Mailbox  duplicated emails sent from SMTP relay server,SD_1stL_SD-UC_NSN_ENG_PH
Access request for Users outside Nokia organization,SD_1stL_SD-UC_NSN_ENG_PH
INC0373768  Reset Domain Password for RuchaRanadiveCWotsukauscom,Service Desk - Non Sales
No Bluetooth Adapter in the Computer Unable to user Bluetooth Mouse  In reference to CAL3106552  INC1559769,SD_1stL_SD-UC_NSN_ENG_PH
Please lock sender,G SNOW RU SERVICE DESK
OTM is not doing timezone conversion,SD_1stL_SD-UC_NSN_ENG_PH
Genis Rodriguez  OneDrive,Service Desk - Non Sales
Оutlook mailboxes to be removed from  desktop app,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
user needs assistance using office365 on iPad,Service Desk - Non Sales
zscaler authentication keeps promting,Service Desk - Non Sales
Software Center Not Loading RE Your ticket CAL3190435 has been solved,SD_1stL_SD-UC_NSN_ENG_PH
amrndhl881pfizercomLogMonitorMemory Errors Escalate and Investigate Issues ASAPunixsyslog PFEUnixMemoryErrors Linux,GBL-WTI-AHS UNIX L1
Problems with Gerrit web UI gerritextnetnokiacom,SD_1stL_SD-UC_NSN_ENG_PH
Question about editing a PDF,Service Desk - Non Sales
New ServiceNow Group,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
Planon User Access,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
I Buy report,I-Buy Process Support
PL  access PO03D regarding RITM1005467,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IT  Add users to group CitrixXenAppITUsers,G SNOW IT SERVICE DESK
payment failed invoice 997140 with Error Message  FICO interface Balance in transaction currency,I-Buy Process Support
iPad installation setup,Service Desk - Non Sales
Request Access to S Folder,Service Desk - GAM
Outlook Recall message feature,Deskside Carnegie
unable to login into citrix ,Service Desk - Non Sales
Cannot Settlement Project WBS Element,PZC-FJ-ServiceDesk
Pease provide access to the Verint Application,G SNOW RU SERVICE DESK
Integra request 1247618335935739515ryuheiNo roles assigned in SAP BPP,SD_UC_CoCare_NSN_GL
FG 100107567 BOM not generate requiremen,PZC-FJ-ServiceDesk
Cost Center  Report not showing data run,PZC-FJ-ServiceDesk
MukeshTomerCW  new account  not in SNOW  needs password reset,Service Desk - Non Sales
AT  EMails Address Change,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
IE  Assign Roles,G SNOW EXT ATOS CENTRAL USER ACCESS TEAM
BWP Planned Orders FiscPer Error G1,PZC-FJ-ServiceDesk
INC0344147  Reset Domain Password for Batsuk Rhonda,Service Desk - Non Sales
MC   User Account Has Been Deactivated,SD_1stL_SD-UC_NSN_ENG_PH
Contract ROU24581322813  waiting to receive respose from ipaas,SD_1stL_SD-UC_NSN_ENG_PH
Orion report not loading,Service Desk - Sales All
